"section","module","question_number","passage","prompt","question_type","option_a","option_b","option_c","option_d","correct_answer","correct_answer_text","image_url"
"math","2","4","","For the exponential function g, the value of g(x) doubles for every increase of 2 in the value of x. If g(5) = 13, what is the value of g(7)?","spr","","","","","","26",""
"math","2","5","","The length of a rectangle’s diagonal is √ 34, and the length of one of the rectangle’s sides is 5. What is the perimeter of the rectangle?","mcq","34","16","15","8","B","",""
"math","2","6","","2x + 12y = 6 x + 8y = 1 The solution to the given system of equations is (x, y). What is the value of x + 4y?","mcq","9","7","5","1 10 2026 March Int I","C","",""
"math","2","7","","The expression 6x24 18x7 is equivalent to 1 3xb, where b is a constant and x > 0. What is the value of b?","mcq","7/24","24/7","17","31","C","",""
"math","2","8","","An object is kicked from a platform. The equation h = −4.9t2 + 8t + 11 represents this situation, where h is the height of the object above the ground, in meters, t seconds after it is kicked. According to the equation, what is the height, in meters, from which the object was kicked?","spr","","","","","","11",""
"math","2","9","","Number of cars Maximum number of passengers and crew 3 139 6 271 10 447 The table shows the linear relationship between the number of cars, c, on a commuter train and the maximum number of passengers and crew, p, that the train can carry. Which equation represents the linear relationship between c and p?","mcq","44c −p = −7","44c −p = 7","44p −c = −7","44p −c = 7","A","",""
"math","2","10","","x(x + 3) −1 = 0 What are the solutions to the given equation?","mcq","x = −3 ± √ 13","x = −3 ± √ 5 2 11 2026 March Int I","x = 3 ± √ 13","x = 3 ± √","A","",""
"math","2","11","","y ≤x + 14 y ≥−3x −14 Which point (x, y) is a solution to the given system of inequalities in the xy-plane?","mcq","(0, −15)","(0, 15)","(−8, 0)","(8, 0)","D","",""
"math","2","12","","35x + 3 = k(7x + 3) + 7x In the given equation, k is a constant. The equation has exactly one solution. Which value CANNOT be the value of k?","mcq","5","4","0","−4","B","",""
"math","2","13","","x y −12 46 a 16 2 b The table shows three values of x and their corresponding values of y, where a and b are constants. There is a linear relationship between x and y. In the xy-plane, the y-intercept of the line representing this relationship is (0, −14). What is the value of a + b?","mcq","−30","−29","−20","−19 12 2026 March Int I","A","",""
"math","2","14","","Line s is perpendicular to line t in the xy-plane. Line s passes through the points (6, 7/8) and (−3, −17/8). Line t passes through the points (−8, 39) and (k, 78). What is the value of k?","spr","","","","","","−21",""
"math","2","15","","y = 2x2 −24x + 54 The given equation represents a parabola in the xy-plane. Which of the following equa- tions that represent the same parabola displays the x-intercepts as constants or coeffi- cients?","mcq","y = 2(x2 −12x) + 54","y = 2x(x −12) + 54","y = 2(x −6)2 −18","y = 2(x −9)(x −3)","D","",""
"math","2","16","","m n D E A C B Note: Figure not drawn to scale. In the figure, line m is parallel to line n, and lines AE and CD intersect at point B. Which additional piece of information is sufficient to prove that triangle ABC is congruent to triangle EBD?","mcq","AB = 12 and DB = 12.","AB = 12 and EB = 12.","Triangles ABC and EBD are isosceles.","No additional information is necessary to determine that the two triangles are congru- ent. 13 2026 March Int I","B","",""
"math","2","17","","f(x) = 12(7)x The function f is defined by the given equation. If g(x) = f(x+2), which of the following equations defines the function g?","mcq","g(x) = 24(7)x","g(x) = 588(7)x","g(x) = 24(14)x","g(x) = 144(49)x","B","",""
"math","2","18","","The value of a painting increased by 179% from the end of 2017 to the end of 2018 and then decreased by 23% from the end of 2018 to the end of 2019. What was the net percentage increase in the value of the painting from the end of 2017 to the end of 2019?","mcq","114.83%","137.83%","156.00%","243.17%","A","",""
"math","2","19","","2 7(2x + 7)  x + √ 2k + 7  x − √ 2k + 7  = 0 In the given equation, k is a positive constant. The product of the solutions to the equation is 63. What is the value of k?","spr","","","","","","5.5",""
"math","2","20","","4x2 −px + w = −87 In the given equation, p and w are integer constants. The equation has exactly one real solution. Which is NOT a possible value of w?","mcq","−23","13","81","313 14 2026 March Int I","C","",""
"math","2","21","","Area (square inches) Trapezoid ABCD 440 Trapezoid EFGH 11,000 Trapezoid ABCD is similar to trapezoid EFGH, where A, B, C, and D correspond to E, F, G, and H, respectively. The length of side AB is 55 inches. What is the length, in inches, of side EF?","spr","","","","","","275",""
"math","2","22","","In triangle JKL, the measure of angle J is (90b)◦, the measure of angle K is (69a)◦, and the measure of angle L is (21a)◦, where a and b are constants. Which of the following must be true?","mcq","cos L > sin K","cos L = sin K","cos L < sin K","There is not enough information to compare the values of cos L and sin K 15 2026 March Int I Answer Sheet Module 1 1 2 3 4 5 6 7 8 9 10 560 B B B 5900 1.2 D B 208 15 11 12 13 14 15 16 17 18 19 20 B C C C D 10 A B D 485 21 22 A A Module 2 1 2 3 4 5 6 7 8 9 10 D A D 26 B C C 11 A A 11 12 13 14 15 16 17 18 19 20 D B A −21 D B B A 5.5 C 21 22 275 D","D","",""
