module,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer_index,image_url,question_type
"1","17","A neighborhood consists of a \(3\)-hectare park and a \(34\)-hectare residential area. The total number of trees in the neighborhood is \(4,832\). The equation \(3x + 34y = 4,832\) represents this situation. Which of the following is the best interpretation of \(x\) in this context?","The average number of trees per hectare in the park","The average number of trees per hectare in the residential area","The total number of trees in the park","The total number of trees in the residential area","0","","mcq"
"1","18","In the \(xy\)-plane, an equation of circle \(A\) is \((x - 5)^2 + (y - 7)^2 = 16\). Circle \(B\) has the same center as circle \(A\) but has a radius that is twice the radius of circle \(A\). Which equation represents circle \(B\)?","\((x - 5)^2 + (y - 7)^2 = 32\)","\((x - 5)^2 + (y - 7)^2 = 64\)","\((x - 5)^2 + (y - 7)^2 = 128\)","\((x - 5)^2 + (y - 7)^2 = 256\)","1","","mcq"
"1","19","The table shown summarizes the number of employees at each of the \(13\) stores in a shopping plaza. Which of the following could be the median number of employees for the stores in the shopping plaza?

<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Number of employees</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Number of stores</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\text{ to }6\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(2\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(7\text{ to }12\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(3\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(13\text{ to }18\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(19\text{ to }24\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(6\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(25\text{ to }30\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\)</td></tr></tbody></table>","\(1\)","\(9\)","\(15\)","\(21\)","3","","mcq"
"1","21","[image]
The graph of \(y = f(x) + 2\) is shown, where \(f\) is defined by an equation of the form \(f(x) = a(b)^x + c\). If \(a\), \(b\), and \(c\) are integer constants and \(c \le 0\), which equation could define \(f\)?","\(f(x) = -5(3)^x\)","\(f(x) = -5(3)^x - 1\)","\(f(x) = -5(3)^x - 3\)","\(f(x) = -5(3)^x - 5\)","0","","mcq"
"1","22","\[30x = 1,800y - 2,700\]
One of the two equations in a system of linear equations is given. The system has no solution. Which equation could be the second equation in this system?","\(\frac{1}{30}x = 2y\)","\(\frac{1}{30}x = 60y - 90\)","\(x = 2y\)","\(x = 60y - 90\)","0","","mcq"
"2","1","A candle is made of \(18\) ounces of wax. When the candle is burning, the amount of wax in the candle decreases by \(1\) ounce every \(4\) hours. If \(8\) ounces of wax remain in this candle, for how many hours has it been burning?","\(3\)","\(7\)","\(32\)","\(40\)","3","","mcq"
"2","2","[image]
The scatterplot shows the relationship between two variables, \(x\) and \(y\), for data set \(A\). A line of best fit for the data is also shown. Data set \(B\) is created by subtracting \(8\) units from the value of \(y\) for each data point from data set \(A\). Which of the following is closest to the \(y\)-coordinate of the \(y\)-intercept of the line of best fit for data set \(B\)?","\(39.17\)","\(48\)","\(52.22\)","\(72.33\)","0","","mcq"
"2","3","\(q(x) = 12(2^x)\)
Which table gives three values of \(x\) and their corresponding values of \(q(x)\) for function \(q\)?","<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(x\)</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(-1\)</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(0\)</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(1\)</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(q(x)\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(-24\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(0\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(24\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">","</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(x\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(-1\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(0\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(q(x)\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(\frac{1}{6}\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(2\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(24\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">","</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(x\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(-1\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(0\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(q(x)\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(\frac{1}{6}\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(12\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(24\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">","</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(x\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(-1\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(0\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(1\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">---</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(q(x)\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(6\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(12\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(24\)</td></tr></tbody></table>","3","","mcq"
"2","5","The length of a rectangle's diagonal is \(\sqrt{34}\), and the length of one of the rectangle's sides is \(5\). What is the perimeter of the rectangle?","\(34\)","\(16\)","\(15\)","\(8\)","1","","mcq"
"2","6","\(2x + 12y = 6\)
\(x + 8y = 1\)
The solution to the given system of equations is \((x, y)\). What is the value of \(x + 4y\)?","\(9\)","\(7\)","\(5\)","\(1\)","2","","mcq"
"2","7","The expression \(\frac{6x^{24}}{18x^7}\) is equivalent to \(\frac{1}{3}x^b\), where \(b\) is a constant and \(x > 0\). What is the value of \(b\)?","\(7/24\)","\(24/7\)","\(17\)","\(31\)","2","","mcq"
"2","9","<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Number of cars</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">Maximum number of passengers and crew</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(3\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(139\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(6\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(271\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(10\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(447\)</td></tr></tbody></table>The table shows the linear relationship between the number of cars, \(c\), on a commuter train and the maximum number of passengers and crew, \(p\), that the train can carry. Which equation represents the linear relationship between \(c\) and \(p\)?","\(44c - p = -7\)","\(44c - p = 7\)","\(44p - c = -7\)","\(44p - c = 7\)","0","","mcq"
"2","10","\(x(x + 3) - 1 = 0\)
What are the solutions to the given equation?","\(x = \frac{-3 \pm \sqrt{13}}{2}\)","\(x = \frac{-3 \pm \sqrt{5}}{2}\)","\(x = \frac{3 \pm \sqrt{13}}{2}\)","\(x = \frac{3 \pm \sqrt{5}}{2}\)","0","","mcq"
"2","11","\(y \leq x + 14\)
\(y \geq -3x - 14\)
Which point \((x, y)\) is a solution to the given system of inequalities in the \(xy\)-plane?","\((0, -15)\)","\((0, 15)\)","\((-8, 0)\)","\((8, 0)\)","3","","mcq"
"2","12","\(35x + 3 = k(7x + 3) + 7x\)
In the given equation, \(k\) is a constant. The equation has exactly one solution. Which value CANNOT be the value of \(k\)?","\(5\)","\(4\)","\(0\)","\(-4\)","1","","mcq"
"2","13","<table class="sat-table" style="border-collapse: collapse; margin: 12px 0; width: 100%; border: 1px solid #cbd5e1;"><thead><tr style="background: #f8fafc;"><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(x\)</th><th style="border: 1px solid #cbd5e1; padding: 8px 12px; font-weight: 600; text-align: center;">\(y\)</th></tr></thead><tbody><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(-12\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(46\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(a\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(16\)</td></tr><tr><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(2\)</td><td style="border: 1px solid #cbd5e1; padding: 8px 12px; text-align: center;">\(b\)</td></tr></tbody></table>The table shows three values of \(x\) and their corresponding values of \(y\), where \(a\) and \(b\) are constants. There is a linear relationship between \(x\) and \(y\). In the \(xy\)-plane, the \(y\)-intercept of the line representing this relationship is \((0, -14)\). What is the value of \(a + b\)?","\(-30\)","\(-29\)","\(-20\)","\(-19\)","0","","mcq"
"2","15","\(y = 2x^2 - 24x + 54\)
The given equation represents a parabola in the \(xy\)-plane. Which of the following equations that represent the same parabola displays the \(x\)-intercepts as constants or coefficients?","\(y = 2(x^2 - 12x) + 54\)","\(y = 2x(x - 12) + 54\)","\(y = 2(x - 6)^2 - 18\)","\(y = 2(x - 9)(x - 3)\)","3","","mcq"
"2","16","[image]
In the figure, line \(m\) is parallel to line \(n\), and lines \(AE\) and \(CD\) intersect at point \(B\). Which additional piece of information is sufficient to prove that triangle \(ABC\) is congruent to triangle \(EBD\)?","\(AB = 12\) and \(DB = 12\).","\(AB = 12\) and \(EB = 12\).","Triangles \(ABC\) and \(EBD\) are isosceles.","No additional information is necessary to determine that the two triangles are congruent.","1","","mcq"
"2","17","\(f(x) = 12(7)^x\)
The function \(f\) is defined by the given equation. If \(g(x) = f(x+2)\), which of the following equations defines the function \(g\)?","\(g(x) = 24(7)^x\)","\(g(x) = 588(7)^x\)","\(g(x) = 24(14)^x\)","\(g(x) = 144(49)^x\)","1","","mcq"
"2","18","The value of a painting increased by \(179\%\) from the end of \(2017\) to the end of \(2018\) and then decreased by \(23\%\) from the end of \(2018\) to the end of \(2019\). What was the net percentage increase in the value of the painting from the end of \(2017\) to the end of \(2019\)?","\(114.83\%\)","\(137.83\%\)","\(156.00\%\)","\(243.17\%\)","0","","mcq"
"2","20","\(4x^2 - px + w = -87\)
In the given equation, \(p\) and \(w\) are integer constants. The equation has exactly one real solution. Which is NOT a possible value of \(w\)?","\(-23\)","\(13\)","\(81\)","\(313\)","2","","mcq"
"2","22","In triangle \(JKL\), the measure of angle \(J\) is \((90b)^\circ\), the measure of angle \(K\) is \((69a)^\circ\), and the measure of angle \(L\) is \((21a)^\circ\), where \(a\) and \(b\) are constants. Which of the following must be true?","\(\cos L > \sin K\)","\(\cos L = \sin K\)","\(\cos L < \sin K\)","There is not enough information to compare the values of \(\cos L\) and \(\sin K\)","3","","mcq"
