"module","question_number","passage","prompt","option_a","option_b","option_c","option_d","correct_answer","image_url"
"1","11","The Wonderful Wizard of Oz is a 1900 novel by L. Frank Baum. In the novel, Dorothy, who is from Kansas, finds herself in an unfamiliar place called Oz. Kansas is presented as being less appealing than Oz, as is clear when ______.","Which quotation from The Wonderful Wizard of Oz most effectively illustrates the claim?","a character says to Dorothy, “I cannot understand why you should wish to leave this beautiful country and go back to the dry, gray place you call Kansas.”","a character says to others, “But it will take more than imagination to carry Dorothy back to Kansas, and I’m sure I don’t know how it can be done.”","the narrator states, “Dorothy did not feel nearly so bad as you might think a little girl would who had been suddenly whisked away from her own country and set down in the midst of a strange land.”","the narrator states, “Before them was a great stretch of country having a floor as smooth and shining and white as the bottom of a big platter.”","1",""
"1","12","<table class=""passage-table"" border=""1"" style=""border-collapse: collapse; width: 100%; margin-bottom: 15px;""><tr><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Month</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Average high (°F)</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Average low (°F)</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Average male wing centroid size (mm)</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Average female wing centroid size (mm)</th></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">October</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">67</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">44</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">1.98</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.29</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">July</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">87</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">62</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.02</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.31</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">June</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">80</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">56</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.01</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.31</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">May</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">73</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">50</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">1.98</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">2.27</td></tr></table>

Drosophila (fruit flies) have generation times of 10–12 days, so seasonal changes in humidity and other environmental conditions can drive seasonal fluctuations in chromosome rearrangements in species such as D. persimilis and D. mediopunctata. Drosophila body size (for which wing centroid size serves as a proxy measure) correlates with life span. Banu Sebnem Önder and Cansu Fidan Aksoy measured the wing sizes of members of a D. melanogaster population in Yesilöz, Turkey, that were collected monthly between May and October over three years. Their research suggests that Drosophila collected in relatively cooler months should tend to have a shorter life span, as is illustrated by the finding that ______.","Which choice most effectively uses data from the table to complete the assertion?","the average female wing centroid size was smaller in May than in June.","the average male wing centroid size was consistently smaller than the average female wing centroid size in all four months in the table.","the average monthly low temperature was lower in May than in June.","the average male wing centroid size was 1.98 mm in May but was 2.31 mm in July.","1",""
"1","13","Rafael Núñez and colleagues studied how members of the Yupno, an Indigenous group in Papua New Guinea, conceptualize time in both spoken language and gestures. The researchers recorded Yupno speakers explaining certain temporal words and phrases, such as jare, a past-oriented expression that translates to “day before yesterday,” and coded each speaker’s manual gestures. Previous research has found a tendency in many cultures to make temporal distinctions along imagined linear axes: for instance, Hebrew speakers often refer to the right/left axis to describe events in time. Some researchers believe this tendency is universal, but Núñez and colleagues claim this is not the case.","Which finding, if true, would most directly support Núñez and colleagues’ claim?","Yupno speakers typically use their left hand to make temporal gestures regardless of whether the gestures are past oriented or future oriented.","Future-oriented gestures used by Yupno speakers do not, on average, point in the opposite linear direction of past-oriented gestures.","Some Yupno grammatical structures used when talking about time are also used in Hebrew.","Yupno speakers were observed making temporal gestures both indoors and outdoors, though with greater frequency when indoors.","1",""
"1","14","The Man–Made World: Or, Our Androcentric Culture is a 1911 nonfiction work by Charlotte Perkins Gilman. In the text, the author emphasizes the importance of cultivating individuals rather than comparing them: ______.","Which quotation from The Man–Made World: Or, Our Androcentric Culture most effectively illustrates the claim?","“That every child on earth shall have right conditions to make the best growth possible to it; that every citizen, from birth to death, shall have a chance to learn all he or she can, to develop every power that is in them.”","“We do not sadly measure the cabbage–stalk by the corn–stalk, and praise the corn for getting ahead of the cabbage—nor incite the cabbage to imitate the corn. We nourish both, to its best growth—and are the richer.”","“We have but to learn the real elements in humanity; its true powers and natural characteristics.”","“We are now to consider the growth of the family in humanity.”","1",""
"1","15","Zooarchaeologist Ophélie Lebrasseur and her team examined a fox skeleton discovered in 1991 at an archaeological site alongside artifacts of human habitation (like spear points) in central Argentina. Lebrasseur et al. determined that the fox was Dusicyon avus, an extinct species resembling a jackal, and radiocarbon dating placed the fox at the site at the same time as human inhabitants. (Indeed, the inhabitants may have deliberately buried the fox.) In addition, while wild foxes have a diet entirely made of meat, isotopic signatures of the skeleton’s teeth indicated that the fox's diet, like that of the humans, was partly composed of plant material. Lebrasseur et al. therefore concluded that ______.","Which choice most logically completes the text?","the humans who were alive at the same time as the fox most likely ate more meat than the fox did.","the fox had a diet more similar to that of jackals than to that of wild foxes.","the humans who were alive at the same time as the fox hunted using the spears whose points were also found at the site.","the fox may have been a companion animal of the humans who inhabited the site at the same time.","1",""
"1","16","In the nineteenth century, Elizabeth Cady Stanton and Susan B. Anthony ______ for women’s right to vote in the United States.","Which choice completes the text so that it conforms to the conventions of Standard English?","having campaigned","campaigned","campaigning","to campaign","1",""
"1","17","While conducting an interview for her book Latina Authors and Their Muses, editor Mayra Calvani asked Sarah Cortez, author of the memoir Walking Home, what ______ Cortez's response was Bury Me Deep by Megan Abbott.","Which choice completes the text so that it conforms to the conventions of Standard English?","her favorite book was.","was her favorite book?","her favorite book was?","was her favorite book!","1",""
"1","18","Choreographers George Balanchine and Martha Graham both contributed sections to the dance piece Episodes, which premiered at New York’s City Center of Music and Drama in 1959. This cross-genre collaboration brought together the distinct features of Balanchine’s neoclassical ballet and Graham’s modern ______ the stylistic diversity and creative innovation within the dance world.","Which choice completes the text so that it conforms to the conventions of Standard English?","dance, it showcased","dance. Which showcased","dance, showcasing","dance. Showcasing","1",""
"1","19","In the book A Theory of Harmony (1985), Swiss musicologist Ernst Levy argued that every chord has an opposite that can be substituted for it. For example, a pianist could replace the vi chord for the III chord while ______ chord is a given chord's opposite can be determined using a music visualization tool called the circle of fifths.","Which choice completes the text so that it conforms to the conventions of Standard English?","improvising which","improvising and which","improvising. Which","improvising, which","1",""
"1","20","In her Silueta sculpture series, the Cuban American artist Ana ______ to access what she called an “omnipresent female force,” utilized a variety of natural materials to create outlines—or silhouettes—of her own body.","Which choice completes the text so that it conforms to the conventions of Standard English?","Mendieta was hoping","Mendieta hoped","Mendieta had hoped","Mendieta, hoping","1",""
"1","21","As volcanologists like Tamsin Mather are apt to make clear, not all volcanoes are the same. Tendürek in Turkey, for example, is a shield volcano, a type of volcano named for its low profile, resembling a warrior's shield lying on the ground. Opala in Russia, ______ is a caldera, a large cauldron-like hollow that forms shortly after the emptying of a magma chamber in a volcanic eruption.","Which choice completes the text with the most logical transition?","in any case,","in contrast,","in conclusion,","in fact,","1",""
"1","22","The United Nations’ Trade and Development organization divides exports into five key categories: food items, agricultural materials, fuels, ores and raw metals, and manufactured goods (i.e., most nonfood goods made by machinery or by hand). In 2022, the majority (62 percent) of Belgium's exports were manufactured goods. ______ vaccines, medicines, and cars were its top exports.","Which choice completes the text with the most logical transition?","In a broader sense,","Within this category,","In the future,","Despite this majority,","1",""
"1","23","A research team led by Gal Badihi has discovered that chimpanzees communicate through exchanges of gestures occurring at a pace similar to that of human conversations. ______ chimpanzee gesture exchanges have short pauses of about 120 milliseconds between communications, comparable to the 200-millisecond average pause between turns in human speech.","Which choice completes the text with the most logical transition?","Specifically,","As a result,","By contrast,","Nevertheless,","1",""
"1","24","While researching a topic, a student has taken the following notes:

The Great Salt Lake in Utah is one of the world's saltiest bodies of water.

The northern portion of the lake has a higher concentration of salt than the southern portion.

Aquatic insects called Ephydra cinerea live in the southern portion.

Bacteria called Nodularia live in the southern portion.","The student wants to emphasize a difference between Ephydra cinerea and Nodularia. Which choice most effectively uses relevant information from the notes to accomplish this goal?","Ephydra cinerea and Nodularia are different types of organisms: Ephydra cinerea are aquatic insects, whereas Nodularia are bacteria.","The northern portion of the Great Salt Lake has a higher concentration of salt than does the southern portion.","Ephydra cinerea and Nodularia both live in the Great Salt Lake's southern portion.","Ephydra cinerea are aquatic insects that live in the southern portion of the Great Salt Lake.","1",""
"1","25","While researching a topic, a student has taken the following notes:

Extravehicular activities (EVAs) are activities performed outside a spacecraft by astronauts in outer space.

EVAs are also known as spacewalks.

Richard Mastracchio is a former US astronaut who has performed 9 spacewalks.

The total time of Mastracchio's spacewalks was 53 hours and 4 minutes.

Garrett Reisman is a former US astronaut who has performed 3 spacewalks.

The total time of Reisman's spacewalks was 21 hours and 21 minutes.","The student wants to emphasize a similarity between the astronauts Mastracchio and Reisman. Which choice most effectively uses relevant information from the notes to accomplish this goal?","Reisman has spent less time performing spacewalks than Mastracchio has.","EVAs, also known as spacewalks, are activities done by astronauts outside a spacecraft.","Mastracchio and Reisman have each performed multiple spacewalks.","Mastracchio has performed spacewalks, but Reisman has performed EVAs.","1",""
"1","26","While researching a topic, a student has taken the following notes:

The Tijuana Slough National Wildlife Refuge (NWR) is a protected natural area in California.

It encompasses 1,023 acres.

The Tijuana Slough NWR was established to safeguard the habitat of the light-footed clapper rail, an endangered species.

The Tijuana Slough NWR is managed by the US Fish & Wildlife Service.

The US Fish & Wildlife Service limits human activities in the area.","The student wants to emphasize the role the US Fish & Wildlife Service plays in safeguarding the habitat of the light-footed clapper rail. Which choice most effectively uses relevant information from the notes to accomplish this goal?","By limiting human activities in the Tijuana Slough NWR, the US Fish & Wildlife Service safeguards the habitat of the light-footed clapper rail.","Human activities are limited in the Tijuana Slough NWR, a protected natural area in California.","Home to the light-footed clapper rail, the Tijuana Slough NWR is located in California, where it encompasses 1,023 acres.","The 1,023-acre Tijuana Slough NWR was established to safeguard the habitat of the light-footed clapper rail, an endangered species.","1",""
"1","27","While researching a topic, a student has taken the following notes:

The cuneiform script is the earliest known set of symbols used for writing.

Sumerian was one of the first languages to be written using the cuneiform script.

Sumerian was a language in ancient Mesopotamia (present-day Iraq).

Clay tablets with Sumerian writing have been found there.

Some of these tablets are almost 5,000 years old.","The student wants to identify a language that was written using the cuneiform script. Which choice most effectively uses relevant information from the notes to accomplish this goal?","Examples of Mesopotamian writing that are nearly 5,000 years old have been found.","A language in ancient Mesopotamia used the cuneiform script for writing.","Clay tablets with cuneiform script have been found in present-day Iraq.","Sumerian, an ancient Mesopotamian language, was written using the cuneiform script.","1",""
"2","1","Zygomorphic (bilaterally symmetric) flowers remain open and functional on average 1.1 days longer than actinomorphic (radially symmetric) flowers do. Ruby E. Stephens and colleagues claim that this extended period could be ______ the relatively small pool of potential pollinators available to zygomorphic flowers and the greater chance at successful pollination that remaining open affords them.","Which choice completes the text with the most logical and precise word or phrase?","analogous to","magnified by","converted by","attributed to","1",""
"2","2","The following text is from Charles Dickens’s 1861 novel Great Expectations. The narrator is taking a walk near his home on a damp morning.

On every rail and gate, wet lay clammy, and the marsh mist was so thick, that the wooden finger on the post directing people to our village—a direction which they never accepted, for they never came there—was invisible to me until I was quite close under it.","As used in the text, what does the word “accepted” most nearly mean?","Shifted","Approved","Authorized","Followed","1",""
"2","3","Analysis of preserved plants cataloged in the United States Virtual Herbarium indicates that rising temperatures correlate with earlier leaf production, but such specimens represent only brief moments in plants’ overall development. ______ this research with studies involving live plants would enable a fuller understanding of how these observed changes affect plant fitness.","Which choice completes the text with the most logical and precise word or phrase?","Foregrounding","Categorizing","Anticipating","Complementing","1",""
"2","4","Although Mistress and Maid, which depicts two women perusing a letter, is atypical of Johannes Vermeer’s genre paintings (scenes of everyday life) in that its subjects are set against a plain background instead of—as in Woman with a Pearl Necklace—a richly detailed one, the painting nonetheless ______ many signature traits of Vermeer’s art, including realistic rendering of natural light.","Which choice completes the text with the most logical and precise word or phrase?","evinces","repudiates","predates","eschews","1",""
"2","5","Technological advances have prompted companies to increasingly rely on automation to streamline production. Armin Granulo and colleagues, however, found that for products with higher symbolic value (those viewed as contributing to individual self-expression), consumers prefer products made by humans rather than by robots, likely because human-made products are more strongly associated with uniqueness. When considering automation, therefore, companies—especially those specializing in products of symbolic value—should weigh trade-offs between efficiency gains and consumer preferences.","Which choice best describes the function of the underlined sentence in the text as a whole?","It refers to a finding presented in the previous sentence to recommend that companies that value product quality reconsider automating their production processes.","It emphasizes that a research finding discussed in the text has practical implications that are particularly relevant for businesses making a certain class of product.","It presents evidence supporting the text’s argument that consumers prefer products with high symbolic value over products with low symbolic value.","It illustrates the need for additional research to evaluate the claim in the previous sentence that automation affects how consumers evaluate products","1",""
"2","6","The following text is from Yung Wing’s 1909 memoir My Life in China and America. Yung Wing was the first person from China to graduate from a US university.

Little did I realize when in 1845 I wrote, while in the Morrison school, a composition on “An Imaginary Voyage to New York and up the Hudson,” that I was to see New York in reality. This incident leads me to the reflection that sometimes our imagination foreshadows what lies uppermost in our minds and brings possibilities within the sphere of realities.","Which choice best describes the function of the underlined sentence in the text as a whole?","It indicates Yung’s unwillingness to distinguish between reality and fantasy as a child.","It foreshadows Yung’s future difficulties in publishing his writings.","It describes an event in Yung’s life that exemplifies a phenomenon.","It illustrates the sense of adventure that Yung developed as a child.","1",""
"2","7","The prints in Images of Autonomous Matter, part of a traveling exhibition of innovative Japanese art from the 1960s and 1970s, exemplify the interest in creating minimalist images of stark materials, such as steel, that first emerged among Japanese printmakers in the mid-to-late twentieth century. Mitsuo Kano’s close-up of a serrated metal fragment, Soldered Blue, and Tatsuo Kawaguchi’s image of a single corroded staple, which belongs to his Relation—Quality series, are two such works in the exhibit. In their emphasis on the innate qualities of manufactured materials, both prints push traditional boundaries for figurative art.","Which statement about the prints by Kano and Kawaguchi in Images of Autonomous Matter is best supported by the text?","The portrayal of imperfection in the prints illustrates that the artist’s goal was to disrupt the carefully covered nature of most art exhibitions.","The objects depicted and the manner of depiction render the prints distinct from more conventional works of art.","The prints showcase how different methods for printing images can offer unique perspectives on stark materials.","The prints emulate the style of an earlier artistic movement that used simplistic compositions and featured industrial objects.","1",""
"2","8","Radamés Cordero et al. have confirmed that twenty mushroom species (including Coprinellus micaceus and species from the genus Russula) maintain subambient temperatures in both their fruited bodies and their mycelium (the root-like hyphae from which the fruited bodies grow), though the benefits of this hypothermic behavior are unclear. Noting that relative coldness was more pronounced in fruiting than in nonfruiting sites of the mycelium—a difference that persisted even after fruited bodies were detached—the researchers speculate that thermoregulation in the mycelium may influence reproductive success.","Which statement about the mycelium of the twenty mushroom species is best supported by the text?","Variation in thermoregulation across the mycelium may occur independent of the presence or absence of fruited bodies.","The correlation between higher mycelium temperature and greater fruit productivity indicates that successful reproduction may be dependent on thermoregulation in the mycelium.","Temperatures in the fruiting areas of the mycelium are lower than in the nonfruiting areas due to differences in the depth and spread of the mycelium within soil or other organic matter.","The mycelium generally maintains temperatures lower than those of the fruited bodies even when considering temperature variations between fruiting and nonfruiting sites.","1",""
"2","9","The following text is from William Carlos Williams’s 1925 creative nonfiction book In the American Grain. Williams is discussing how works by nineteenth-century US poet and fiction writer Edgar Allan Poe were received by American readers.

Poe must suffer by his originality. Invent that which is new, even if it be made of pine from your own yard, and there’s none to know what you have done. It is because there’s no name. This is the cause of Poe’s lack of recognition. He was American. He was the astounding, inconceivable growth of his locality. Gape at him they did, and he at them in amazement. Afterward with mutual hatred; he in disgust, they in mistrust. It is only that which is under your nose which seems inexplicable.","What does the text most strongly suggest about Poe’s work and American readers?","Poe’s work was so innovative that there was not even terminology to describe it, which led American readers to regard both the work and Poe himself as strange but quintessentially American.","Poe’s work had few fans among American readers because it tended to present a negative image of American life and institutions.","American readers largely ignored Poe’s work because its tone and subject matter were out of keeping with mainstream literature.","American readers failed to appreciate Poe’s work because of its novelty and the fact that it reflected aspects of the American character too ingrained in those readers for them to comprehend.","1",""
"2","10","<table class=""passage-table"" border=""1"" style=""border-collapse: collapse; width: 100%; margin-bottom: 15px;""><tr><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Common name</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Average mass (kg)</th><th style=""border: 1px solid #cbd5e1; padding: 8px; background-color: #f8fafc; font-weight: bold; text-align: left;"">Capable of flight?</th></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Lesser rhea</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">19.6</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">No</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Dalmatian pelican</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">11.5</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Yes</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Andean condor</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">11.3</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Yes</td></tr><tr><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">Northern cassowary</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">44.0</td><td style=""border: 1px solid #cbd5e1; padding: 8px; text-align: left;"">No</td></tr></table>

Most bird species that are capable of flight weigh less than a kilogram (kg), which is not surprising considering the burden that extra body weight puts on a flying animal. But not all flying birds are so light, as we can see most clearly in the example of the ______.","Which choice most effectively uses data from the table to complete the example?","northern cassowary, which has an average mass of 44.0 kg.","Andean condor, which has an average mass below 10 kg.","northern cassowary, which has a higher average mass than the lesser rhea.","Dalmatian pelican, which has an average mass of 11.5 kg.","1",""
"2","11","The 2002 production of I’m Not Rappaport was the first Broadway show for which Teresa Snider-Stein was credited as a costume designer. Snider-Stein was among the Broadway costume designers interviewed by Sara Jablon-Roberts and Eulanda A. Sanders for their study of historical accuracy in costume design. They argue that aesthetics often outweigh fidelity to the past among designers for shows with historical settings. In a paper for a theater class, a student claims that the costume design for a modern production of Shakespeare’s A Midsummer Night’s Dream (set in ancient Greece) exemplifies this tendency.","Which quotation from the costume designer for the modern production of A Midsummer Night’s Dream would most effectively support the student’s claim?","“For A Midsummer Night’s Dream, I decided not to include the extra fabric that would have been typical of clothing in the period because it made the costumes unappealingly bulky.”","“In trying to create the period look of A Midsummer Night’s Dream, I had to make some practical compromises, such as substituting cooler modern fabrics for historically accurate woolens so that the actors didn’t overheat.”","“Although historically accurate costumes would have added an air of authenticity to A Midsummer Night’s Dream, they have so many layers that costume changes would have been difficult.”","“The clothing of the period of A Midsummer Night’s Dream is aesthetically appealing but largely unfamiliar to today’s audiences, so minor deviations from historical accuracy largely went unnoticed.”","1",""
"2","12","Studying animals in a laboratory allows variables to be systematically controlled, but removing animals from their wild habitats can affect their behavior and biology in unforeseen ways. Given this, biologists Rebecca M. Calisi-Rodriguez and George E. Bentley examined research on brown-throated three-toed sloths and canaries to see whether results from studies in the wild were consistent with the results of studies in the laboratory. Therefore, data showing that brown-throated three-toed sloths tend to sleep fewer than 10 hours per day in the wild would be irrelevant to Calisi-Rodriguez and Bentley's investigation if ______.","Which choice most logically completes the text?","this behavior pattern has not been studied in the lab.","they tend to sleep more than 15 hours per day in the lab.","the brains of male canaries show predictable seasonal changes in the wild.","such data have been collected for canaries in laboratory settings but not in the wild.","1",""
"2","13","In 2008, the US state of Hawaii enacted rate stability regulations (RSRs), constraining insurance companies’ latitude to raise premiums (the periodic fees policyholders pay to maintain insurance policies) after policies are in effect. RSRs are effective at protecting existing policyholders from price volatility, but Naoki Aizawa and Ami Ko note that since dynamic pricing of premiums is an important risk-mitigation tool for insurers, RSRs may lead some insurers to scale back or entirely cease selling new policies in the affected market, thereby reducing the competitive pressure that typically restrains premium prices for new policies. Thus, Hawaii’s RSRs may ______.","Which choice most logically completes the text?","benefit policyholders at the expense of nonpolicyholders seeking to acquire policies.","reduce premium price volatility once policies are in effect but increase risks for policyholders.","prevent large increases in premium prices for new policies despite leading to fewer insurers offering such policies in the affected market.","be more advantageous for insurers than they are for either current or prospective policyholders.","1",""
